naam,bouwjaar,kunstenaar,locatie,latitude,longitude,omschrijving,eigendom,bron,url
"Vita (negen bronzen elementen)","1992","Louise Schouwenberg","Georges Brassensstraat 61",51.871081,5.863703,"Dit kunstwerk bestaat uit negen bronzen elementen. Zij laten een combinatie zien van rechthoekige vormen die in een helder patroon staan, en organische golven aan de bovenzijde. De golven verwijzen naar water, leven, natuur. De titel luidt Vita, het Latijnse woord voor 'leven'. Omdat er tussen de elementen steeds eenzelfde afstand is gecreërd, lijkt het alsof de levende beweging eindelloos kan doorgaan.

In 1992 heeft De Gelderlander dit kunstwerk aangeboden aan de gemeente Nijmegen en haar bewoners bij de gereedkoming van de nieuwbouw aan de binnenhaven.

In 2011 is het pand van de Gelderlander gesloopt, sinds 2015 staat het op de huidige locatie.","gemeente Nijmegen","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=510"
"Kunstvitrine","1994","Wilma Sommers","Keizer Karelplein (voorplein ABN/AMRO)",51.8429594,5.85930669,"De gemeente en het Nijmeegs Museum Commanderie van Sint-Jan gaven een kunstopdracht aan de kunstenaars Wilma Sommers en Petra Hartman. Aan hen werd gevraagd een ontwerp te maken voor 'een vitrine-achtig object'. Het object moest een opvallende vormgeving hebben en moest de bezoekers van de Waalkade attenderen op het expositieaanbod van het Nijmeegse museum. Gedacht werd aan een frivool en kleurrijk object dat zich zou onderscheiden van het straatmeubilair. 
Uiteindelijk bleek zowel het ontwerp van Wilma Sommers als van Petra Hartman geschikt. Daarom ontstond het idee om in de loop der tijd meer vitrines door kunstenaars te laten vervaardigen en deze allemaal op de Waalkade te plaatsen of over het stadshart te verspreiden. Petra Hartman plaatste haar vitrine op de Waalkade en Wilma Sommers op het Keizer Karelplein. Maar een uitbreiding van het project is niet van de grond gekomen.
In 2012 is de vitrine van Petra Hartman verwijderd, zij heeft een ander locatie voor dit werk gevonden.

De vitrine van Wilma Sommers is in feite een glazen bak op een sokkel. De sokkel heeft geen gewone vorm, maar bestaat uit twee tafels. De tafels zijn geverfd. Deze kunstenaar gebruikt graag gebruiksvoorwerpen in haar ontwerpen, omdat deze direct herkenbaar zijn voor de toeschouwers. De twee tafels hebben elk een verschillende vorm. Er is een ouderwetse tafelversie in zwart uitgevoerd en een moderne strakke die met felle kleuren is behandeld. De kunstenares wilde daarmee tot uitdrukking brengen dat het betreffende museum zowel historische als hedendaagse collecties herbergt.","gemeente Nijmegen","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=511"
"Sculptuur","1995","Ari Berkulin","Waalkade (ter hoogte van het Holland Casino)",51.849179,5.869028,"Dit kunstwerk kwam tot stand vanuit een opdracht van de gemeente Nijmegen in het kader van de Percentageregeling Beeldende Kunst. De kunstenaar werd voor de opgave gesteld een bakenachtig teken te ontwerpen, dat monumentaal zou werken en beeldbepalend voor de Waalkade zou worden. 

In zijn ontwerp en materiaalkeuze heeft Berkulin rekening gehouden met de constructie van de Waalburg. Hij zocht een evenwicht tussen de verticale lijnen van de brug en de lijnen die terug komen in zijn ontwerp.

Het beeld toont vanuit meerdere standpunten verschillende Romeinse cijfers. Dit idee is ingegeven door het rijke Romeinse verleden van Nijmegen.","gemeente Nijmegen","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=513"
"Trafohuisje","1996","Titus Nolte","Berg en Dalseweg/Caesarstraat",51.8349231,5.89170024,"Geen omschrijving.","particulier","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=514"
"Trafohuisje","1996","Titus Nolte","Holtgesbroek 10e en 11e straat",51.829307,5.776963,"Geen omschrijving.","particulier","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=515"
"Sculptuur","1995","Cor Litjens","Prins Hendrikstraat",51.8404432,5.86781193,"In 1995 bestond de Stichting Volksbelang, de oudste woningbouwvereniging van Nijmegen, 100 jaar. In verband met dit jubileum besloot deze stichting de gemeente Nijmegen een beeld aan te bieden. Daarvoor kreeg Cor Litjens een ontwerpopdracht. Het beeld is vlakbij de woningen van de stichting geplaatst.

Het beeld bestaat uit een granieten plaat die tussen twee bronzen elementen is ingeklemd. In de bronzen elementen is een stadssilhouet gemaakt dat is opgebouwd uit vele belangrijke historische monumenten uit de hele wereld, zoals de Dom in Keulen, de Eiffeltoren uit Parijs, de toren van Pisa, maar ook de St. Stevenstoren in Nijmegen. De vorm van het heuvellandschap is enigszins afgeleid van de stuwwal waar Nijmegen op is gebouwd. De blauwe granieten plaat, die aan de ene kant strak gepolijst is en aan de andere kant ruw gelaten, dient als een blauwe hemel voor het stadsgezicht.
 
De verschillende kleine bouwwerkjes zijn in feite afgietsels van souvenirs die de kunstenaar door de jaren heen heeft verzameld. Hij verwerkt ze wel vaker in zijn beelden.
De sokkel van het beeld doet tegelijkertijd dienst als een bankje waar toeschouwers even op kunnen rusten en van het beeld kunnen genieten.","gemeente Nijmegen","www.litjens.nl","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=516"
"Joris Ivens Monument","1990","Bas Maters","Joris Ivensplein",51.8487218,5.85662511,"Dit beeld werd gemaakt ter herinnering aan de in 1990 overleden Nijmeegse cineast Joris Ivens. Hij bereikte wereldwijde faam door documentaires als 'De Brug', 'Borinage' en 'Une histoire de vent'. Het plein waarop het beeld is geplaatst is naar de beroemde cineast vernoemd. 

Joris Ivens heeft de plannen van Maters nog gekend. Maters reisde af naar Parijs, de woonplaats van Ivens en besprak daar met hem het model dat hij al gemaakt had. Helaas heeft de cineast de voltooiing van het kunstwerk niet meer meegemaakt.

Het kunstwerk dat is gemaakt van plaatstaal is in feite ontstaan uit één simpele vorm: een lange rechthoek met een draaiing. Bovenaan is een ronde vorm uitgesneden, die naar buiten is geklapt. De cirkel zit nog aan één punt vast. Om de verticale vorm rechtop te kunnen laten staan is aan de basis een vierkant uitgesneden voor stabiliteit. Het ronde gat aan de bovenkant oogt als een open luik. Het legt een verband met de cineast Ivens, want het verwijst naar het oog van de camera. Het gat aan de onderkant kan gezien worden als een openstaande deur.

Onder aan het kunstwerk staat een tekst van Joris Ivens. 'Dikwijls ver weg, bleef Nijmegen, mijn jeugd, toch dicht bij mij.'","gemeente Nijmegen","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=517"
"Sculptuur en Mozaïekrand","1999","Abderrahim Chawky","De Ruyterstraat (Thiemepark)",51.8384304,5.85625445,"De gemeente Nijmegen gaf Abderrahim Chawki de opdracht om een waterelement te ontwerpen. Hij maakte een beeld dat bestaat uit drie amforen (vazen). Deze amforen zijn gemaakt van kalksteen. Met z'n drieën symboliseren ze water, vruchtbaarheid en cultuur. 
In het verlengde van deze opdracht ontwierp de kunstenaar een keramisch mozaïek, dat geplaatst werd tegen de betonnen rand van het waterbassin.
Dit kunstwerk doet denken aan de water- en drinkplaatsen in zuidelijke landen en sluit daarmee aan op de multiculturele sfeer van de wijk. 

Door het afbreken van een oude drukkerij ontstond er in Bottendaal tussen de drukke bebouwing een open plek. De gemeente besloot hier het Thiemepark aan te leggen. Het park verwijst in de naamvoering nog naar de afgebroken drukkerij. Het park is nog altijd omgeven door een gietijzeren hek dat vroeger die oude drukkerij omsloot.","gemeente Nijmegen","www.abderrahim-chawki.nl","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=518"
"Zonder Titel","1999","Erik Buijs","Floraweg (Florapark)",51.8370217,5.84272565,"Erik Buijs werd door de gemeente Nijmegen benaderd om een beeldje te ontwerpen voor het Florapark in de Wolfskuil. Bewoners uit het hoger gelegen deel van de Wolfskuil waren zeer betrokken bij de wording van het park en dit beeld. Het parkje was oorspronkelijk bedoeld voor de bewoners van het benedengedeelte van de Wolfskuil. Om de beide bewonersgroepen met elkaar te verbinden ontwierp Buijs een spion. Deze kijkt met zijn verrekijker de wijk in en controleert het reilen en zeilen. In beide lenzen van de verrekijker zitten lampjes. ’s Avonds als het donker wordt gaan deze aan. Je ziet dan het silhouet van een mannetje met twee oplichtende ogen.","gemeente Nijmegen","www.erikbuijs.com","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=519"
"Gevelsteen ('In de Gecroede Botter Ton')","1649","Onbekend","Raadhuisstraat 2",51.8460978,5.86762855,"In de Raadhuisstraat, in de zijmuur van een pand aan de Mariënburgsestraat, is een gevelsteen uit 1649 ingemetseld. Deze toont in reliëf een boterton met een kroontje erboven. Erboven staat het jaartal 1649, onderaan staat 'in de Gecroede Botter Ton'. Dit steentje komt oorspronkelijk van een pand aan de Stikke Hezelstraat, dat in de Tweede Wereldoorlog werd verwoest. 
Op de steen zelf is te zien dat zich boven de e (gecroEde) een liggend streepje bevindt. Zo'n streepje duidt in het Latijn vaak op een N of op een M. De tekst zou dan luiden: gecroende. En dat komt mooi overeen met de kroon boven de ton.","particulier","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=520"
"Ponyrijden","1967","Pieter d'Hont","Van Broeckhuysenstraat",51.8441659,5.86706866,"Dit beeld bestaat uit een pony met op zijn rug wijdbeens twee kinderen en daarnaast hun waakzame moeder. Of is het de vrouw die het ponyritje begeleidt?
Menig kind heeft al achter de twee kinderen als derde op het dier gezeten. Dit heeft bijgedragen aan de populariteit van het beeld. De werken van d’Hont zijn figuratieve voorstellingen van ‘mensen en dingen van de dag’. Het is juist dit gegeven dat zijn werk geliefd maakt bij velen. 

In 1967 is deze beeldengroep door de gemeente geplaatst voor de toenmalige Nederlandse Middenstands Bank en de Kamer van Koophandel aan het Mariënburg. Na de gerealiseerde plannen van het project Centrum 2000, waarbij het hele Mariënburg-gebied ingrijpend is veranderd, kreeg het kunstwerk een nieuwe plek op het pleintje dat is ontstaan op de hoek van de Van Broeckhuysenstraat en de Mariënburg.","gemeente Nijmegen","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=530"
"Zonder titel","1999","Tony Cragg","Stationsplein",51.842589,5.853778,"De monumentale beeldengroep voor het Centraal Station is moeilijk over het hoofd te zien. Het werk bestaat uit drie bronzen delen, die er elk uitzien als een slordige stapel borden. De stapel lijkt elk moment uit zijn evenwicht te kunnen raken. Het lijkt alsof het werk ronddraait, waardoor het een dynamische indruk maakt. Daarmee past het op een plek waar reizen zo centraal staat. 

De beeldengroep heeft van de kunstenaar geen titel meegekregen. 

De ovale rotonde waarop het kunstwerk staat, is zowel vanaf het station, als vanaf het Keizer Karelplein over de hele Van Schaeck Mathonsingel zichtbaar. Het stationsplein heeft een belangrijke betekenis als visitekaartje voor de stad. Hier hebben toeristen en reizigers hun kennismaking met de stad. Het beeld van Cragg bepaalt hun eerste indruk. Tegelijkertijd wordt het een vertrouwd herkenningspunt voor mensen die dagelijks per trein reizen.","gemeente Nijmegen","www.tonycragg.com","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=531"
"De Schommel","2000","Henk Visch","Raadhuishof",51.846098,5.866259,"'De Schommel' is gelegen tussen stadhuis en Marikenstraat. Het is een monument ter nagedachtenis aan de 763 slachtoffers van het bombardement op Nijmegen op 22 februari 1944. Het stadscentrum werd toen bijna geheel verwoest. Het door Henk Visch ontworpen monument herinnert in het bijzonder aan de 24 kinderen en 8 zusters van het instituut Saint-Louis die toen op deze plaats omkwamen. 
'De Schommel' is in eerste instantie een herinnering aan deze bewaarschool. Doordat zij echter is afgesloten met een hek, dringt het besef door dat het bombardement een einde maakte aan het onbekommerde spelen van de kinderen. 
De schommel kan slechts traag bewegen. De kunstenaar wil hiermee de zwaarte en ernst van de gebeurtenis tot uitdrukking brengen. Het is alsof hij de tijd even heeft willen stilzetten. 
Het  monument wordt geflankeerd door twee kastanjes, die oorspronkelijk in de tuin van het getroffen instituut stonden en de laatste getuigen van dit huiveringwekkende drama zijn. 

De namen van alle slachtoffers zijn aangebracht op de Herinneringswand, een ontwerp van Montse Hernández i Sala. Deze bevindt zich in een vitrine in het stadhuis (ingang Raadhuishof).
De tekst op het glas van de vitrine luidt: 'GERAAKT IN HET HART NIJMEGEN 22 FEBRUARI 1944'.","gemeente Nijmegen","www.henkvisch.nl","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=532"
"Zonder titel","1999","Narcisse Tordoir","Kelfkensbos",51.8467271,5.86918963,"Narcisse Tordoir maakte deze 'tekening' van blauw geschilderd staal. Hij is ervan uitgegaan dat het beeld een relatie met de plek moet hebben. Vandaar dat hij gegevens uit de direkte omgeving van het plein, zoals architectonische details en landschappelijke elementen, combineerde met objecten die verwijzen naar het museum. 

Wie enige moeite doet, vindt een rechthoekig venster, een omgekeerd huisje, bomen en wolken. Alle elementen zijn door Tordoir op een vrije, intuïtieve manier tot een compositie samengevoegd.
Voor de bezoeker die op weg is naar het museum vormt het kunstwerk een aardige introductie. Er zijn namelijk ook verrekijkers en loep-vormen te zien die het thema 'kijken' verbeelden. Ook zijn gezichtsfragmenten zichtbaar: oogkassen van opzij gezien met wolkjes die verwijzen naar denken en fantaseren. Met deze combinatie van details verwijst het beeld naar de activiteit, waaraan de museumbezoeker zich even later zal overleveren: kijken, beschouwen, reflecteren.","gemeente Nijmegen","www.narcissetordoir.com","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=533"
"Joods monument","1995","Paul de Swaaf","Kitty de Wijzeplaats",51.848690,5.862491,"Op 4 mei 1995 werd op de kruising van de Priemstraat, Nonnenstraat, Smidstraat en Ganzenheuvel een monument onthuld ter herinnering aan de bijna 400 joodse stadsgenoten die in de Tweede Wereldoorlog zijn omgekomen. Het monument bestaat uit een 2 meter hoog bronzen beeld van een treurig voorovergebogen vrouw, gemaakt door Paul de Swaaf. Achter het beeld staat een gedenksteen, met daarop de volgende tekst van Leo Vroman:
'Kom vanavond met verhalen
hoe de oorlog is verdwenen
en herhaal ze honderd malen:
alle malen zal ik wenen.'

Paul de Swaaf maakte de oorlog bewust mee;  in het ouderlijk huis zaten joden ondergedoken. De kunstenaar wil niet alleen terug- maar ook vooruitkijken; het beeld is wat hem betreft tevens een waarschuwing voor het gevaar van discriminatie. 

De synagoge bevindt zich vlak bij het monument. Het pleintje werd ter gelegenheid van de onthulling van het monument vernoemd naar Kitty de Wijze, één van de jongste joodse slachtoffers uit Nijmegen. De in 1920 te Boxmeer geboren vrouw kwam in 1942 om het leven in het concentratiekamp in Monowitz (Auschwitz III).","gemeente Nijmegen","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=534"
"Monument ter herinnering aan de boom van Lücker","2000","Diane Dyckhoff","Broerweg/Ubbergseveldweg",51.838255,5.887891,"In 1924 weten de jonge kunstenaar Eugene Lücker en Jonkheer van der Goes van Naters op het nippertje te voorkomen dat de monumentale kastanjeboom op de Ubbergseveldweg wordt gerooid. Eugene Lücker maakte een linoleumsnede van de boom, die sindsdien verder door het leven ging als de 'boom van Lücker'.

In 1996 werd de 200 jaar oude boom gerooid. De gemeente beloofde dat er een nieuwe voor in de plaats zou komen. In 2000 is de gemeente deze belofte nagekomen. Aan het planten van een nieuwe boom is toen een kunstopdracht verbonden. 

Diane Dyckhoff maakte het ontwerp. Ze stelde voor om een jonge kastanje te plaatsen schuin tegenover de plaats waar voorheen de boom van Lücker stond. Op deze plek is rondom de nieuwe boom een cirkelvorm aangebracht, die bestaat uit stalen ringen (die verwijzen naar de jaarringen) en blauwe gravel. Deze blauwe cirkel lijkt een schaal, die jaarlijks de vruchten en bladeren van de boom opvangt en verzamelt. De halfronde bankjes in de omgeving lijken deel uit te maken van de uitwaaiierende jaarringen. Ze maken deel uit van het kunstwerk. 

Schuin aan de overkant van de straat, vlakbij de oorspronkelijke locatie van de Lückerboom, staat ook een bankje. Daar is een hardstenen plaat aangebracht, waarin de bijzondere geschiedenis van de boom staat samengevat. De steen wordt omvat door een stalen ring. Deze past precies in het midden van de grote cirkel rond de nieuwe boom. 
Zo vullen de oude en de nieuwe plek elkaar aan.   
De boom van Lücker is overgens niet helemaal verdwenen. In het Natuurmuseum is nog een deel van de stam te zien.","gemeente Nijmegen","www.dianedyckhoff.nl","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=535"
